,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,SPER01,Unkn-01,1,2664.67410985202,,Unknown,Unassigned,False
,A02,SYBR,SPER01,Unkn-01,1,2856.8159008636,,Unknown,Unassigned,False
,A03,SYBR,SPER01,Unkn-02,9,3310.19971471768,,Unknown,Unassigned,False
,A04,SYBR,SPER01,Unkn-02,9,3317.00598202696,,Unknown,Unassigned,False
,A05,SYBR,SPER01,Unkn-03,17,3034.21793674402,,Unknown,Unassigned,False
,A06,SYBR,SPER01,Unkn-03,17,3287.84201598378,,Unknown,Unassigned,False
,A07,SYBR,SPER01,Unkn-04,25,3332.47120304855,,Unknown,Unassigned,False
,A08,SYBR,SPER01,Unkn-04,25,3199.22046305624,,Unknown,Unassigned,False
,A09,SYBR,SPER01,Std-01,,4.1182345075541,,Standard,Unassigned,False
,A10,SYBR,SPER01,Std-01,,3.27515968321495,,Standard,Unassigned,False
,A11,SYBR,SPER01,NTC,,2807.75268109839,,NTC,Unassigned,False
,A12,SYBR,SPER01,NTC,,2876.55923246928,,NTC,Unassigned,False
,B01,SYBR,SPER01,Unkn-05,2,2362.55508327704,,Unknown,Unassigned,False
,B02,SYBR,SPER01,Unkn-05,2,3013.50757881025,,Unknown,Unassigned,False
,B03,SYBR,SPER01,Unkn-06,10,2939.36104686075,,Unknown,Unassigned,False
,B04,SYBR,SPER01,Unkn-06,10,3153.83507252388,,Unknown,Unassigned,False
,B05,SYBR,SPER01,Unkn-07,18,3227.02462726789,,Unknown,Unassigned,False
,B06,SYBR,SPER01,Unkn-07,18,2935.85033395977,,Unknown,Unassigned,False
,B07,SYBR,SPER01,Unkn-08,26,3262.52582388329,,Unknown,Unassigned,False
,B08,SYBR,SPER01,Unkn-08,26,3504.99230393391,,Unknown,Unassigned,False
,B09,SYBR,SPER01,Std-02,,2483.57446244485,,Standard,Unassigned,False
,B10,SYBR,SPER01,Std-02,,2791.79750917626,,Standard,Unassigned,False
,B11,SYBR,SPER01,NTC,,3150.95528820721,,NTC,Unassigned,False
,B12,SYBR,SPER01,NTC,,2290.99472844726,,NTC,Unassigned,False
,C01,SYBR,SPER01,Unkn-09,3,-2.15247761076989,,Unknown,Unassigned,False
,C02,SYBR,SPER01,Unkn-09,3,1.44737845318605,,Unknown,Unassigned,False
,C03,SYBR,SPER01,Unkn-10,11,3541.39636706237,,Unknown,Unassigned,False
,C04,SYBR,SPER01,Unkn-10,11,3414.91740889465,,Unknown,Unassigned,False
,C05,SYBR,SPER01,Unkn-11,19,2923.54949182275,,Unknown,Unassigned,False
,C06,SYBR,SPER01,Unkn-11,19,3261.09399904045,,Unknown,Unassigned,False
,C07,SYBR,SPER01,Unkn-12,27,3857.43368791012,,Unknown,Unassigned,False
,C08,SYBR,SPER01,Unkn-12,27,4152.7733864636,,Unknown,Unassigned,False
,C09,SYBR,SPER01,Std-03,,3440.55009988604,,Standard,Unassigned,False
,C10,SYBR,SPER01,Std-03,,3243.25482066585,,Standard,Unassigned,False
,D01,SYBR,SPER01,Unkn-13,4,-3.25690074119211,,Unknown,Unassigned,False
,D02,SYBR,SPER01,Unkn-13,4,-1.79366260953902,,Unknown,Unassigned,False
,D03,SYBR,SPER01,Unkn-14,12,2374.78516565293,,Unknown,Unassigned,False
,D04,SYBR,SPER01,Unkn-14,12,3069.61387043395,,Unknown,Unassigned,False
,D05,SYBR,SPER01,Unkn-15,20,1447.77382553435,,Unknown,Unassigned,False
,D06,SYBR,SPER01,Unkn-15,20,1612.56780003227,,Unknown,Unassigned,False
,D07,SYBR,SPER01,Unkn-16,28,3312.84935447548,,Unknown,Unassigned,False
,D08,SYBR,SPER01,Unkn-16,28,3208.93979071327,,Unknown,Unassigned,False
,D09,SYBR,SPER01,Std-04,,3247.40625142995,,Standard,Unassigned,False
,D10,SYBR,SPER01,Std-04,,3145.65021635725,,Standard,Unassigned,False
,E01,SYBR,SPER01,Unkn-17,5,2994.26111840213,,Unknown,Unassigned,False
,E02,SYBR,SPER01,Unkn-17,5,3545.26057461869,,Unknown,Unassigned,False
,E03,SYBR,SPER01,Unkn-18,13,3521.02318354439,,Unknown,Unassigned,False
,E04,SYBR,SPER01,Unkn-18,13,3822.90171929092,,Unknown,Unassigned,False
,E05,SYBR,SPER01,Unkn-19,21,3976.02910731012,,Unknown,Unassigned,False
,E06,SYBR,SPER01,Unkn-19,21,3650.19939097186,,Unknown,Unassigned,False
,E07,SYBR,SPER01,Unkn-20,29,3330.13454577918,,Unknown,Unassigned,False
,E08,SYBR,SPER01,Unkn-20,29,2930.66503758042,,Unknown,Unassigned,False
,E09,SYBR,SPER01,Std-05,,3387.29783284335,,Standard,Unassigned,False
,E10,SYBR,SPER01,Std-05,,3338.51461979807,,Standard,Unassigned,False
,F01,SYBR,SPER01,Unkn-21,6,2328.59101485942,,Unknown,Unassigned,False
,F02,SYBR,SPER01,Unkn-21,6,3190.3018537836,,Unknown,Unassigned,False
,F03,SYBR,SPER01,Unkn-22,14,2938.92779268754,,Unknown,Unassigned,False
,F04,SYBR,SPER01,Unkn-22,14,3172.55443812122,,Unknown,Unassigned,False
,F05,SYBR,SPER01,Unkn-23,22,3249.74119100063,,Unknown,Unassigned,False
,F06,SYBR,SPER01,Unkn-23,22,3666.9774199199,,Unknown,Unassigned,False
,F07,SYBR,SPER01,Unkn-24,30,1103.13253072307,,Unknown,Unassigned,False
,F08,SYBR,SPER01,Unkn-24,30,3508.37877896087,,Unknown,Unassigned,False
,F09,SYBR,SPER01,Std-06,,3367.55278918677,,Standard,Unassigned,False
,F10,SYBR,SPER01,Std-06,,3111.17210654711,,Standard,Unassigned,False
,G01,SYBR,SPER01,Unkn-25,7,2917.22277457078,,Unknown,Unassigned,False
,G02,SYBR,SPER01,Unkn-25,7,3047.21278245763,,Unknown,Unassigned,False
,G03,SYBR,SPER01,Unkn-26,15,3049.828897386,,Unknown,Unassigned,False
,G04,SYBR,SPER01,Unkn-26,15,3735.36782181951,,Unknown,Unassigned,False
,G05,SYBR,SPER01,Unkn-27,23,3681.17769924932,,Unknown,Unassigned,False
,G06,SYBR,SPER01,Unkn-27,23,3509.55136805809,,Unknown,Unassigned,False
,G07,SYBR,SPER01,Unkn-28,31,3965.70233925374,,Unknown,Unassigned,False
,G08,SYBR,SPER01,Unkn-28,31,3980.65109918531,,Unknown,Unassigned,False
,G09,SYBR,SPER01,NTC,,3542.13088991437,,NTC,Unassigned,False
,G10,SYBR,SPER01,NTC,,3292.77062101945,,NTC,Unassigned,False
,H01,SYBR,SPER01,Unkn-29,8,1914.5877050505,,Unknown,Unassigned,False
,H02,SYBR,SPER01,Unkn-29,8,2121.72355486493,,Unknown,Unassigned,False
,H03,SYBR,SPER01,Unkn-30,16,2291.21185186856,,Unknown,Unassigned,False
,H04,SYBR,SPER01,Unkn-30,16,2502.98585848699,,Unknown,Unassigned,False
,H05,SYBR,SPER01,Unkn-31,24,2882.23835680763,,Unknown,Unassigned,False
,H06,SYBR,SPER01,Unkn-31,24,2671.58653962661,,Unknown,Unassigned,False
,H07,SYBR,SPER01,Unkn-32,32,3082.34074563498,,Unknown,Unassigned,False
,H08,SYBR,SPER01,Unkn-32,32,3487.32341731339,,Unknown,Unassigned,False
,H09,SYBR,SPER01,NTC,,754.685545978264,,NTC,Unassigned,False
,H10,SYBR,SPER01,NTC,,3113.26555152551,,NTC,Unassigned,False
